,embedding,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap
64,openl3,organ,irmas,openmic,0.29004329004329,0.5537190082644629,0.3806818181818182,121.0,0.494199535962877,0.5459077579312184,0.3113130911101927
65,openl3,piano,irmas,openmic,0.6875,0.4631578947368421,0.5534591194968552,285.0,0.4867469879518072,0.527719298245614,0.7094341784332934
66,openl3,saxophone,irmas,openmic,0.4848484848484848,0.419672131147541,0.4499121265377855,305.0,0.5023847376788553,0.4971868042906294,0.4800176746152662
67,openl3,trumpet,irmas,openmic,0.4110576923076923,0.5377358490566038,0.4659400544959128,318.0,0.5006369426751592,0.5161542294587425,0.4070388770981566
68,openl3,violin,irmas,openmic,0.5873015873015873,0.0939086294416243,0.161925601750547,394.0,0.393026941362916,0.496519522799803,0.6164402934815915
69,openl3,voice,irmas,openmic,0.6018518518518519,0.2901785714285714,0.391566265060241,224.0,0.4598930481283422,0.5104166666666667,0.5998801613615066
70,openl3,cello,openmic,irmas,0.0604890604890604,0.5,0.1079219288174512,94.0,0.5336134453781513,0.5205389529532781,0.0573799901297451
71,openl3,clarinet,openmic,irmas,0.0918367346938775,0.3543307086614173,0.1458670988654781,127.0,0.6836734693877551,0.5477480519613411,0.0990480046248525
72,openl3,flute,openmic,irmas,0.0759259259259259,0.3388429752066115,0.124054462934947,121.0,0.6524609843937575,0.5054374281205702,0.0748758089805882
73,openl3,guitar,openmic,irmas,0.1839863713798978,0.3121387283236994,0.2315112540192926,346.0,0.5696278511404562,0.4656485373970923,0.1965192430776602
74,openl3,organ,openmic,irmas,0.090029041626331,0.5344827586206896,0.1541010770505385,174.0,0.3871548619447779,0.4516578841946319,0.091970012123515
75,openl3,piano,openmic,irmas,0.0986509274873524,0.6882352941176471,0.1725663716814159,170.0,0.3265306122448979,0.4862692670651148,0.1015519145061677
76,openl3,saxophone,openmic,irmas,0.099025974025974,0.4066666666666667,0.1592689295039164,150.0,0.6134453781512605,0.5110070360598065,0.1011675490403408
77,openl3,trumpet,openmic,irmas,0.0899581589958159,0.86,0.1628787878787878,150.0,0.2040816326530612,0.452537379067722,0.0810300109835242
78,openl3,violin,openmic,irmas,0.0822898032200357,0.3216783216783216,0.131054131054131,143.0,0.6338535414165666,0.4802951480561461,0.0874593979274566
79,openl3,voice,openmic,irmas,0.1202651515151515,0.6649214659685864,0.2036888532477947,191.0,0.4039615846338535,0.5165498269589138,0.1281353221039248
80,yamnet,cello,irmas,irmas,0.0609756097560975,0.3191489361702128,0.1023890784982935,94.0,0.6842737094837935,0.4813762113583455,0.0574434176833955
81,yamnet,clarinet,irmas,irmas,0.0771604938271604,0.1968503937007874,0.1108647450110864,127.0,0.7593037214885955,0.4845819711132599,0.0736355148464603
82,yamnet,flute,irmas,irmas,0.0648464163822525,0.1570247933884297,0.0917874396135265,121.0,0.7743097238895558,0.514675439300329,0.0727430344112953
83,yamnet,guitar,irmas,irmas,0.1946902654867256,0.3815028901734104,0.2578125,346.0,0.5438175270108043,0.4828034682080925,0.2036016834524342
84,yamnet,organ,irmas,irmas,0.098,0.2816091954022988,0.14540059347181,174.0,0.6542617046818727,0.4820267480200918,0.1036136630677662
85,yamnet,piano,irmas,irmas,0.109090909090909,0.2823529411764706,0.1573770491803278,170.0,0.6914765906362546,0.49298914753067,0.1198921717444155
86,yamnet,saxophone,irmas,irmas,0.0776470588235294,0.22,0.1147826086956521,150.0,0.6944777911164466,0.5092700087950748,0.087475946670758
87,yamnet,trumpet,irmas,irmas,0.0887978142076502,0.4333333333333333,0.1473922902494331,150.0,0.5486194477791116,0.4882981530343008,0.0902650255165005
88,yamnet,violin,irmas,irmas,0.0874035989717223,0.2377622377622377,0.1278195488721804,143.0,0.7214885954381752,0.5008012342221141,0.0909199389966629
89,yamnet,voice,irmas,irmas,0.1169102296450939,0.2931937172774869,0.1671641791044776,191.0,0.6650660264105642,0.4748602360457893,0.1089204157303528
90,yamnet,cello,openmic,openmic,0.4761904761904761,0.4424778761061947,0.4587155963302752,226.0,0.51340206185567,0.5227047527932485,0.4887934538246437
91,yamnet,clarinet,openmic,openmic,0.2191011235955056,0.2846715328467153,0.2476190476190476,137.0,0.6296875,0.5120082425157086,0.2139899882264424
92,yamnet,flute,openmic,openmic,0.2744360902255639,0.4171428571428571,0.3310657596371882,175.0,0.4750889679715303,0.4869398301956441,0.3020539513412945
93,yamnet,guitar,openmic,openmic,0.6751824817518248,0.6468531468531469,0.6607142857142857,286.0,0.5642201834862385,0.5474358974358975,0.7044424076515581
94,yamnet,organ,openmic,openmic,0.320754716981132,0.4214876033057851,0.3642857142857142,121.0,0.5870069605568445,0.5291122367368701,0.2964857436843805
95,yamnet,piano,openmic,openmic,0.7099236641221374,0.6526315789473685,0.680073126142596,285.0,0.5783132530120482,0.5165182186234818,0.7051226619747877
96,yamnet,saxophone,openmic,openmic,0.5,0.4983606557377049,0.4991789819376026,305.0,0.5151033386327504,0.518488160291439,0.502922898973271
97,yamnet,trumpet,openmic,openmic,0.3799392097264438,0.3930817610062893,0.3863987635239567,318.0,0.4942675159235669,0.4709237337211964,0.3807058971891724
